ID,Name,Primary Type,Secondary Type,Image,Additional Images
#011,metapod,Bug,,https://img.pokemondb.net/sprites/bank/normal/metapod.png,"['https://img.pokemondb.net/artwork/metapod.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/metapod.png', 'https://img.pokemondb.net/sprites/silver/normal/metapod.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/metapod.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/metapod.png', 'https://img.pokemondb.net/sprites/black-white/normal/metapod.png', 'https://img.pokemondb.net/sprites/x-y/normal/metapod.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/metapod.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/metapod.png', 'https://img.pokemondb.net/sprites/silver/shiny/metapod.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/metapod.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/metapod.png', 'https://img.pokemondb.net/sprites/black-white/shiny/metapod.png', 'https://img.pokemondb.net/sprites/x-y/shiny/metapod.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/metapod.png']"
#012,butterfree,Bug,Flying,https://img.pokemondb.net/sprites/bank/normal/butterfree.png,"['https://img.pokemondb.net/artwork/butterfree.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/butterfree.png', 'https://img.pokemondb.net/sprites/silver/normal/butterfree.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/butterfree.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/butterfree-f.png', 'https://img.pokemondb.net/sprites/black-white/normal/butterfree-f.png', 'https://img.pokemondb.net/sprites/x-y/normal/butterfree-f.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/butterfree-f.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/butterfree.png', 'https://img.pokemondb.net/sprites/silver/shiny/butterfree.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/butterfree.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/butterfree-f.png', 'https://img.pokemondb.net/sprites/black-white/shiny/butterfree-f.png', 'https://img.pokemondb.net/sprites/x-y/shiny/butterfree-f.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/butterfree-f.png']"
#013,weedle,Bug,Poison,https://img.pokemondb.net/sprites/bank/normal/weedle.png,"['https://img.pokemondb.net/artwork/weedle.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/weedle.png', 'https://img.pokemondb.net/sprites/silver/normal/weedle.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/weedle.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/weedle.png', 'https://img.pokemondb.net/sprites/black-white/normal/weedle.png', 'https://img.pokemondb.net/sprites/x-y/normal/weedle.png', 'https://img.pokemondb.net/sprites/silver/shiny/weedle.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/weedle.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/weedle.png', 'https://img.pokemondb.net/sprites/black-white/shiny/weedle.png', 'https://img.pokemondb.net/sprites/x-y/shiny/weedle.png']"
#014,kakuna,Bug,Poison,https://img.pokemondb.net/sprites/bank/normal/kakuna.png,"['https://img.pokemondb.net/artwork/kakuna.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/kakuna.png', 'https://img.pokemondb.net/sprites/silver/normal/kakuna.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/kakuna.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/kakuna.png', 'https://img.pokemondb.net/sprites/black-white/normal/kakuna.png', 'https://img.pokemondb.net/sprites/x-y/normal/kakuna.png', 'https://img.pokemondb.net/sprites/silver/shiny/kakuna.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/kakuna.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/kakuna.png', 'https://img.pokemondb.net/sprites/black-white/shiny/kakuna.png', 'https://img.pokemondb.net/sprites/x-y/shiny/kakuna.png']"
#015,beedrill,Bug,Poison,https://img.pokemondb.net/sprites/bank/normal/beedrill.png,"['https://img.pokemondb.net/artwork/beedrill.jpg', 'https://img.pokemondb.net/artwork/beedrill-mega.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/beedrill.png', 'https://img.pokemondb.net/sprites/silver/normal/beedrill.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/beedrill.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/beedrill.png', 'https://img.pokemondb.net/sprites/black-white/normal/beedrill.png', 'https://img.pokemondb.net/sprites/x-y/normal/beedrill.png', 'https://img.pokemondb.net/sprites/silver/shiny/beedrill.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/beedrill.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/beedrill.png', 'https://img.pokemondb.net/sprites/black-white/shiny/beedrill.png', 'https://img.pokemondb.net/sprites/x-y/shiny/beedrill.png']"
#016,pidgey,Normal,Flying,https://img.pokemondb.net/sprites/bank/normal/pidgey.png,"['https://img.pokemondb.net/artwork/pidgey.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/pidgey.png', 'https://img.pokemondb.net/sprites/silver/normal/pidgey.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/pidgey.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/pidgey.png', 'https://img.pokemondb.net/sprites/black-white/normal/pidgey.png', 'https://img.pokemondb.net/sprites/x-y/normal/pidgey.png', 'https://img.pokemondb.net/sprites/silver/shiny/pidgey.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/pidgey.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/pidgey.png', 'https://img.pokemondb.net/sprites/black-white/shiny/pidgey.png', 'https://img.pokemondb.net/sprites/x-y/shiny/pidgey.png']"
#017,pidgeotto,Normal,Flying,https://img.pokemondb.net/sprites/bank/normal/pidgeotto.png,"['https://img.pokemondb.net/artwork/pidgeotto.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/pidgeotto.png', 'https://img.pokemondb.net/sprites/silver/normal/pidgeotto.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/pidgeotto.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/pidgeotto.png', 'https://img.pokemondb.net/sprites/black-white/normal/pidgeotto.png', 'https://img.pokemondb.net/sprites/x-y/normal/pidgeotto.png', 'https://img.pokemondb.net/sprites/silver/shiny/pidgeotto.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/pidgeotto.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/pidgeotto.png', 'https://img.pokemondb.net/sprites/black-white/shiny/pidgeotto.png', 'https://img.pokemondb.net/sprites/x-y/shiny/pidgeotto.png']"
#018,pidgeot,Normal,Flying,https://img.pokemondb.net/sprites/bank/normal/pidgeot.png,"['https://img.pokemondb.net/artwork/pidgeot.jpg', 'https://img.pokemondb.net/artwork/pidgeot-mega.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/pidgeot.png', 'https://img.pokemondb.net/sprites/silver/normal/pidgeot.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/pidgeot.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/pidgeot.png', 'https://img.pokemondb.net/sprites/black-white/normal/pidgeot.png', 'https://img.pokemondb.net/sprites/x-y/normal/pidgeot.png', 'https://img.pokemondb.net/sprites/silver/shiny/pidgeot.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/pidgeot.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/pidgeot.png', 'https://img.pokemondb.net/sprites/black-white/shiny/pidgeot.png', 'https://img.pokemondb.net/sprites/x-y/shiny/pidgeot.png']"
#019,rattata,Normal,,https://img.pokemondb.net/sprites/bank/normal/rattata.png,"['https://img.pokemondb.net/artwork/rattata.jpg', 'https://img.pokemondb.net/artwork/rattata-alolan.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/rattata.png', 'https://img.pokemondb.net/sprites/silver/normal/rattata.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/rattata.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/rattata-f.png', 'https://img.pokemondb.net/sprites/black-white/normal/rattata-f.png', 'https://img.pokemondb.net/sprites/x-y/normal/rattata-f.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/rattata-alolan.png', 'https://img.pokemondb.net/sprites/silver/shiny/rattata.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/rattata.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/rattata-f.png', 'https://img.pokemondb.net/sprites/black-white/shiny/rattata-f.png', 'https://img.pokemondb.net/sprites/x-y/shiny/rattata-f.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/rattata-alolan.png']"
#020,raticate,Normal,,https://img.pokemondb.net/sprites/bank/normal/raticate.png,"['https://img.pokemondb.net/artwork/raticate.jpg', 'https://img.pokemondb.net/artwork/raticate-alolan.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/raticate.png', 'https://img.pokemondb.net/sprites/silver/normal/raticate.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/raticate.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/raticate-f.png', 'https://img.pokemondb.net/sprites/black-white/normal/raticate-f.png', 'https://img.pokemondb.net/sprites/x-y/normal/raticate-f.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/raticate-alolan.png', 'https://img.pokemondb.net/sprites/silver/shiny/raticate.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/raticate.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/raticate-f.png', 'https://img.pokemondb.net/sprites/black-white/shiny/raticate-f.png', 'https://img.pokemondb.net/sprites/x-y/shiny/raticate-f.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/raticate-alolan.png']"
#021,spearow,Normal,Flying,https://img.pokemondb.net/sprites/bank/normal/spearow.png,"['https://img.pokemondb.net/artwork/spearow.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/spearow.png', 'https://img.pokemondb.net/sprites/silver/normal/spearow.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/spearow.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/spearow.png', 'https://img.pokemondb.net/sprites/black-white/normal/spearow.png', 'https://img.pokemondb.net/sprites/x-y/normal/spearow.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/spearow.png', 'https://img.pokemondb.net/sprites/silver/shiny/spearow.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/spearow.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/spearow.png', 'https://img.pokemondb.net/sprites/black-white/shiny/spearow.png', 'https://img.pokemondb.net/sprites/x-y/shiny/spearow.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/spearow.png']"
#022,fearow,Normal,Flying,https://img.pokemondb.net/sprites/bank/normal/fearow.png,"['https://img.pokemondb.net/artwork/fearow.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/fearow.png', 'https://img.pokemondb.net/sprites/silver/normal/fearow.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/fearow.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/fearow.png', 'https://img.pokemondb.net/sprites/black-white/normal/fearow.png', 'https://img.pokemondb.net/sprites/x-y/normal/fearow.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/fearow.png', 'https://img.pokemondb.net/sprites/silver/shiny/fearow.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/fearow.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/fearow.png', 'https://img.pokemondb.net/sprites/black-white/shiny/fearow.png', 'https://img.pokemondb.net/sprites/x-y/shiny/fearow.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/fearow.png']"
#023,ekans,Poison,,https://img.pokemondb.net/sprites/bank/normal/ekans.png,"['https://img.pokemondb.net/artwork/ekans.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/ekans.png', 'https://img.pokemondb.net/sprites/silver/normal/ekans.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/ekans.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/ekans.png', 'https://img.pokemondb.net/sprites/black-white/normal/ekans.png', 'https://img.pokemondb.net/sprites/x-y/normal/ekans.png', 'https://img.pokemondb.net/sprites/ultra-sun-ultra-moon/normal/ekans.png', 'https://img.pokemondb.net/sprites/silver/shiny/ekans.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/ekans.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/ekans.png', 'https://img.pokemondb.net/sprites/black-white/shiny/ekans.png', 'https://img.pokemondb.net/sprites/x-y/shiny/ekans.png', 'https://img.pokemondb.net/sprites/ultra-sun-ultra-moon/shiny/ekans.png']"
#024,arbok,Poison,,https://img.pokemondb.net/sprites/bank/normal/arbok.png,"['https://img.pokemondb.net/artwork/arbok.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/arbok.png', 'https://img.pokemondb.net/sprites/silver/normal/arbok.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/arbok.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/arbok.png', 'https://img.pokemondb.net/sprites/black-white/normal/arbok.png', 'https://img.pokemondb.net/sprites/x-y/normal/arbok.png', 'https://img.pokemondb.net/sprites/ultra-sun-ultra-moon/normal/arbok.png', 'https://img.pokemondb.net/sprites/silver/shiny/arbok.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/arbok.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/arbok.png', 'https://img.pokemondb.net/sprites/black-white/shiny/arbok.png', 'https://img.pokemondb.net/sprites/x-y/shiny/arbok.png', 'https://img.pokemondb.net/sprites/ultra-sun-ultra-moon/shiny/arbok.png']"
#025,pikachu,Electric,,https://img.pokemondb.net/sprites/bank/normal/pikachu.png,"['https://img.pokemondb.net/artwork/pikachu.jpg', 'https://img.pokemondb.net/artwork/pikachu-lets-go.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/pikachu.png', 'https://img.pokemondb.net/sprites/silver/normal/pikachu.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/pikachu.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/pikachu-f.png', 'https://img.pokemondb.net/sprites/black-white/normal/pikachu-f.png', 'https://img.pokemondb.net/sprites/x-y/normal/pikachu-f.png', 'https://img.pokemondb.net/sprites/ultra-sun-ultra-moon/normal/pikachu-f.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/pikachu.png', 'https://img.pokemondb.net/sprites/silver/shiny/pikachu.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/pikachu.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/pikachu-f.png', 'https://img.pokemondb.net/sprites/black-white/shiny/pikachu-f.png', 'https://img.pokemondb.net/sprites/x-y/shiny/pikachu-f.png', 'https://img.pokemondb.net/sprites/ultra-sun-ultra-moon/shiny/pikachu-f.png']"
#026,raichu,Electric,,https://img.pokemondb.net/sprites/bank/normal/raichu.png,"['https://img.pokemondb.net/artwork/raichu.jpg', 'https://img.pokemondb.net/artwork/raichu-alolan.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/raichu.png', 'https://img.pokemondb.net/sprites/silver/normal/raichu.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/raichu.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/raichu-f.png', 'https://img.pokemondb.net/sprites/black-white/normal/raichu-f.png', 'https://img.pokemondb.net/sprites/x-y/normal/raichu-f.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/raichu-alolan.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/raichu.png', 'https://img.pokemondb.net/sprites/silver/shiny/raichu.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/raichu.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/raichu-f.png', 'https://img.pokemondb.net/sprites/black-white/shiny/raichu-f.png', 'https://img.pokemondb.net/sprites/x-y/shiny/raichu-f.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/raichu-alolan.png']"
#027,sandshrew,Ground,,https://img.pokemondb.net/sprites/bank/normal/sandshrew.png,"['https://img.pokemondb.net/artwork/sandshrew.jpg', 'https://img.pokemondb.net/artwork/sandshrew-alolan.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/sandshrew.png', 'https://img.pokemondb.net/sprites/silver/normal/sandshrew.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/sandshrew.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/sandshrew.png', 'https://img.pokemondb.net/sprites/black-white/normal/sandshrew.png', 'https://img.pokemondb.net/sprites/x-y/normal/sandshrew.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/sandshrew-alolan.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/sandshrew.png', 'https://img.pokemondb.net/sprites/silver/shiny/sandshrew.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/sandshrew.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/sandshrew.png', 'https://img.pokemondb.net/sprites/black-white/shiny/sandshrew.png', 'https://img.pokemondb.net/sprites/x-y/shiny/sandshrew.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/sandshrew-alolan.png']"
